TRIANGLE TIRE WORLD
#instante   states     time1      f1         time2      f2         f2         time3
Academic license - for non-commercial use only
2      15      0.107      1.593      0.009      1.608     22.141      1.608
4      45      0.457      1.560      0.036      1.608     60.006      1.608
6      91      0.860      1.555      0.159      1.608     61.955      1.608
8     153      1.592      1.534      0.351      1.608     95.489      1.608
10    231      3.518      0.917      0.718      0.692    120.305      0.692
12    325      5.216      0.980      1.188      0.692    180.773      0.692
14    435      8.698      0.992      1.737      0.692    241.513      0.692
16    561     11.707      0.801      2.623      0.692    182.476      0.692
18    703     18.372      0.740      3.741      0.692   1401.366      0.692
20    861     26.244      0.698      3.978      1.608    123.638      1.608
